Code,Price,Cost,Product Variants Separated by 
ATM-SP718-100G ,0.65,0.517,
ATM-SP742-100G ,0.65,0.517,
CC000-1GL ,8.5,7,
CC000-5GL ,32,25.5,
U-90*089-Ext(3.5L) ,8.5,7.88,
U-90*089Ext(17L) ,30,29.5,
U90-SP718-1.4GL ,3,2.25,
U90-SP718-1GL ,8.5,7.25,
U90-SP718-3G ,1.25,0.9583,
U90-SP718-5GL ,33,31,
U90-SP728-1.4GL ,3,2.25,
U90-SP728-1G ,0.65,0.517,
U90-SP728-1GL ,8.5,7.25,
U90-SP728-3G ,1.1,0.9583,
U90-SP728-5GL ,33,31,
U90-SP738-1.4GL ,3,2.25,
U90-SP738-1G ,0.65,0.517,
U90-SP738-1GL ,8.5,7.25,
U90-SP738-3G ,1.1,0.9583,
U90-SP738-5GL ,33,31,
U90-SP742-1.4GL ,3,2.25,
U90-SP742-1GL ,8.5,7.25,
U90-SP742-3G ,1.1,0.9583,
U90-SP742-5GL ,33,32,
U90-SP758-1.4GL ,3,2.25,
U90-SP758-1G ,0.65,0.517,
U90-SP758-1GL ,8.5,7.25,
U90-SP758-3G ,1.1,0.9583,
U90-SP758-5GL ,33,31,
